,Site_Num,Site_Name,Enrollment,Free,Reduced,TotalFR,FRPercent,Year,Paid,CEP
0,1302,Arbutus Elem,327,72,27,99,30.3,Y0607,,
1,1356,Arbutus Middle,850,156,102,258,30.4,Y0607,,
2,1307,Baltimore Highlands Elem,537,250,128,378,70.4,Y0607,,
3,1517,Battle Grove Elem,332,103,53,156,47.0,Y0607,,
4,1215,Battle Monument School,53,22,7,29,54.7,Y0607,,
5,1206,Bear Creek Elem,482,146,55,201,41.7,Y0607,,
6,303,Bedford Elem,332,134,42,176,53.0,Y0607,,
7,1205,Berkshire Elem,344,137,50,187,54.4,Y0607,,
8,73,Bridge Center,16,16,0,16,100.0,Y0607,,
9,62,Campfield Ely Chhd Lrn/Dev,326,135,33,168,51.5,Y0607,,
10,1106,Carney Elem,489,92,47,139,28.4,Y0607,,
11,1001,Carroll Manor Elem,344,4,5,9,2.6,Y0607,,
12,975,Carver Center For Arts & Tech,715,39,34,73,10.2,Y0607,,
13,69,Catonsville Ctr Alt Studies,57,19,9,28,49.1,Y0607,,
14,101,Catonsville Elem,410,56,23,79,19.3,Y0607,,
15,174,Catonsville High,1693,188,69,257,15.2,Y0607,,
16,151,Catonsville Middle,669,100,45,145,21.7,Y0607,,
17,408,Cedarmere Elem,485,97,40,137,28.2,Y0607,,
18,113,Chadwick Elem,414,187,78,265,64.0,Y0607,,
19,1107,Chapel Hill Elem,775,78,37,115,14.8,Y0607,,
20,1212,Charlesmont Elem,346,102,52,154,44.5,Y0607,,
21,1507,Chase Elem,356,126,46,172,48.3,Y0607,,
22,404,Chatsworth School,405,42,15,57,14.1,Y0607,,
23,1574,Chesapeake High,1069,348,116,464,43.4,Y0607,,
24,1511,Chesapeake Terrace Elem,192,38,14,52,27.1,Y0607,,
25,207,Church Lane Elem Of Tech,495,162,54,216,43.6,Y0607,,
26,853,Cockeysville Middle,906,123,57,180,19.9,Y0607,,
27,1503,Colgate Elem,329,171,53,224,68.1,Y0607,,
28,916,Cromwell Valley Reg Magnet,431,25,19,44,10.2,Y0607,,
29,1525,Deep Creek Elem,549,297,93,390,71.0,Y0607,,
30,1557,Deep Creek Middle,837,381,136,517,61.8,Y0607,,
31,216,Deer Park Elem,478,125,65,190,39.7,Y0607,,
32,254,Deer Park Middle And Mgnt,1244,357,116,473,38.0,Y0607,,
33,112,Dogwood Elem,621,218,88,306,49.3,Y0607,,
34,872,Dulaney High,1959,102,47,149,7.6,Y0607,,
35,953,Dumbarton Middle,913,142,43,185,20.3,Y0607,,
36,1202,Dundalk Elem,665,393,63,456,68.6,Y0607,,
37,1273,Dundalk High,1326,476,149,625,47.1,Y0607,,
38,1251,Dundalk Middle,478,247,54,301,63.0,Y0607,,
39,1575,Eastern Technical High,1244,110,73,183,14.7,Y0607,,
40,1218,Eastwood Center,181,41,25,66,36.5,Y0607,,
41,1502,Edgemere Elem,520,123,36,159,30.6,Y0607,,
42,104,Edmondson Heights Elem,618,268,93,361,58.4,Y0607,,
43,1405,Elmwood Elem,526,171,76,247,47.0,Y0607,,
44,1508,Essex Elem,433,104,44,148,34.2,Y0607,,
45,204,Featherbed Lane Elem,673,286,86,372,55.3,Y0607,,
46,501,Fifth District Elem,282,12,9,21,7.4,Y0607,,
47,308,Fort Garrison Elem,420,23,5,28,6.7,Y0607,,
48,403,Franklin Elem,503,29,23,52,10.3,Y0607,,
49,472,Franklin High,1584,173,63,236,14.9,Y0607,,
50,451,Franklin Middle,1400,242,97,339,24.2,Y0607,,
51,1404,Fullerton Elem,520,57,36,93,17.9,Y0607,,
52,1255,Gen John Stricker Middle,836,261,137,398,47.6,Y0607,,
53,1518,Glenmar Elem,352,161,50,211,59.9,Y0607,,
54,407,Glyndon Elem,457,103,44,147,32.2,Y0607,,
55,1451,Golden Ring Middle,751,312,126,438,58.3,Y0607,,
56,1210,Grange Elem,385,106,38,144,37.4,Y0607,,
57,1111,Gunpowder Elem,504,54,21,75,14.9,Y0607,,
58,1313,Halethorpe Elem,390,90,50,140,35.9,Y0607,,
59,912,Halstead Academy,548,287,89,376,68.6,Y0607,,
60,911,Hampton Elem,361,31,12,43,11.9,Y0607,,
61,915,Harford Hills Elem,362,73,49,122,33.7,Y0607,,
62,1515,Hawthorne Elem,431,220,70,290,67.3,Y0607,,
63,209,Hebbville Elem,474,180,72,252,53.2,Y0607,,
64,772,Hereford High,1391,19,19,38,2.7,Y0607,,
65,855,Hereford Middle,997,34,17,51,5.1,Y0607,,
66,214,Hernwood Elem,464,166,42,208,44.8,Y0607,,
67,115,Hillcrest Elem,640,86,26,112,17.5,Y0607,,
68,1253,Holabird Middle,727,309,106,415,57.1,Y0607,,
69,1002,Jacksonville Elem,534,8,3,11,2.1,Y0607,,
70,105,Johnnycake Elem,594,234,100,334,56.2,Y0607,,
71,1109,Joppaview Elem,588,81,34,115,19.6,Y0607,,
72,1572,Kenwood High,1852,442,178,620,33.5,Y0607,,
73,1104,Kingsville Elem,342,16,7,23,6.7,Y0607,,
74,1311,Lansdowne Elem,382,165,61,226,59.2,Y0607,,
75,1371,Lansdowne High And Bus Adm,1282,347,140,487,38.0,Y0607,,
76,1351,Lansdowne Middle,692,343,109,452,65.3,Y0607,,
77,973,Loch Raven High,1178,103,62,165,14.0,Y0607,,
78,954,Loch Raven Technical Acad,721,289,95,384,53.3,Y0607,,
79,9823,Loch Raven Um Church - Es,25,25,0,25,100.0,Y0607,,
80,1217,Logan Elem,541,312,84,396,73.2,Y0607,,
81,803,Lutherville Laboratory,453,18,17,35,7.7,Y0607,,
82,111,Maiden Choice School,107,35,17,52,48.6,Y0607,,
83,1512,Mars Estates Elem,385,209,65,274,71.2,Y0607,,
84,1506,Martin Blvd Elem,306,140,43,183,59.8,Y0607,,
85,1403,Mccormick Elem,420,186,89,275,65.5,Y0607,,
86,70,Meadowood Educ Ctr,48,24,8,32,66.7,Y0607,,
87,1556,Middle River Middle,826,302,115,417,50.5,Y0607,,
88,1520,Middleborough Elem,311,59,26,85,27.3,Y0607,,
89,1514,Middlesex Elem,512,211,57,268,52.3,Y0607,,
90,307,Milbrook Elem,343,152,30,182,53.1,Y0607,,
91,271,Milford Mill Academy,1552,407,110,517,33.3,Y0607,,
92,217,New Town Elem,652,103,48,151,23.2,Y0607,,
93,473,New Town High,1032,186,78,264,25.6,Y0607,,
94,1207,Norwood Elem,610,268,79,347,56.9,Y0607,,
95,910,Oakleigh Elem,496,120,76,196,39.5,Y0607,,
96,252,Old Court Middle,639,274,85,359,56.2,Y0607,,
97,1534,Oliver Beach Elem,265,32,10,42,15.8,Y0607,,
98,1519,Orems Elem,332,75,35,110,33.1,Y0607,,
99,1473,Overlea High,1357,339,140,479,35.3,Y0607,,
100,402,Owings Mills Elem,717,245,83,328,45.7,Y0607,,
101,452,Owings Mills High,1132,239,103,342,30.2,Y0607,,
102,810,Padonia International,314,74,26,100,31.8,Y0607,,
103,972,Parkville High,1950,436,159,595,30.5,Y0607,,
104,1452,Parkville Middle,1143,207,109,316,27.6,Y0607,,
105,1272,Patapsco High And Ctr For Arts,1594,335,135,470,29.5,Y0607,,
106,1105,Perry Hall Elem,543,62,39,101,18.6,Y0607,,
107,1171,Perry Hall High,2305,221,79,300,13.0,Y0607,,
108,1151,Perry Hall Middle,1496,140,100,240,16.0,Y0607,,
109,371,Pikesville High,1018,132,42,174,17.1,Y0607,,
110,352,Pikesville Middle,937,261,81,342,36.5,Y0607,,
111,921,Pine Grove Elem,474,53,28,81,17.1,Y0607,,
112,957,Pine Grove Middle,1063,133,72,205,19.3,Y0607,,
113,811,Pinewood Elem,501,17,4,21,4.2,Y0607,,
114,909,Pleasant Plains Elem,542,215,56,271,50.0,Y0607,,
115,808,Pot Springs Elem,568,81,28,109,19.2,Y0607,,
116,210,Powhatan Elem,336,138,50,188,56.0,Y0607,,
117,601,Prettyboy Elem,419,12,6,18,4.3,Y0607,,
118,202,Randallstown Elem,402,135,46,181,45.0,Y0607,,
119,272,Randallstown High,1263,326,144,470,37.2,Y0607,,
120,1406,Red House Run Elem,499,137,60,197,39.5,Y0607,,
121,406,Reisterstown Elem,488,102,45,147,30.1,Y0607,,
122,1310,Relay Elem,434,69,45,114,26.3,Y0607,,
123,809,Riderwood Elem,474,9,1,10,2.1,Y0607,,
