,Academic_Year,LSS_Name,School_Name,Assessment,Student_Group,Tested_Count,Proficient_Pct,Create_Date,Level,Subject,Grade
439,2022.0,Baltimore County,Southwest EDLP at Woodlawn High School,Algebra 1,All Students,-1.0,-1.0,20230113.0,High,Algebra,-1
440,2022.0,Baltimore County,Home Assignments-Secondary,Mathematics Grade 7,All Students,-1.0,-1.0,20230113.0,Unknown,Mathematics,7
441,2022.0,Baltimore County,Home Assignments-Secondary,Mathematics Grade 8,All Students,-1.0,-1.0,20230113.0,Unknown,Mathematics,8
442,2022.0,Baltimore County,Home Assignments-Secondary,Algebra 1,All Students,-1.0,-1.0,20230113.0,Unknown,Algebra,-1
443,2022.0,Baltimore County,Home Assignments-Secondary,Geometry,All Students,-1.0,-1.0,20230113.0,Unknown,Geometry,-1
444,2022.0,Baltimore County,Catonsville Center for Alternative Studies,Algebra 1,All Students,-1.0,-1.0,20230113.0,High,Algebra,-1
445,2022.0,Baltimore County,Catonsville Center for Alternative Studies,Geometry,All Students,-1.0,-1.0,20230113.0,High,Geometry,-1
446,2022.0,Baltimore County,Meadowood Education Center,Mathematics Grade 6,All Students,-1.0,-1.0,20230113.0,Unknown,Mathematics,6
447,2022.0,Baltimore County,Meadowood Education Center,Mathematics Grade 7,All Students,-1.0,-1.0,20230113.0,Unknown,Mathematics,7
448,2022.0,Baltimore County,Meadowood Education Center,Mathematics Grade 8,All Students,-1.0,-1.0,20230113.0,Unknown,Mathematics,8
449,2022.0,Baltimore County,Meadowood Education Center,Algebra 1,All Students,-1.0,-1.0,20230113.0,Unknown,Algebra,-1
450,2022.0,Baltimore County,Rosedale Center,Mathematics Grade 6,All Students,-1.0,-1.0,20230113.0,High,Mathematics,6
451,2022.0,Baltimore County,Rosedale Center,Mathematics Grade 7,All Students,-1.0,-1.0,20230113.0,High,Mathematics,7
452,2022.0,Baltimore County,Rosedale Center,Mathematics Grade 8,All Students,-1.0,-1.0,20230113.0,High,Mathematics,8
453,2022.0,Baltimore County,Rosedale Center,Algebra 1,All Students,-1.0,-1.0,20230113.0,High,Algebra,-1
454,2022.0,Baltimore County,Rosedale Center,Geometry,All Students,-1.0,-1.0,20230113.0,High,Geometry,-1
455,2022.0,Baltimore County,Crossroads Center,Mathematics Grade 7,All Students,-1.0,-1.0,20230113.0,Middle,Mathematics,7
456,2022.0,Baltimore County,Crossroads Center,Mathematics Grade 8,All Students,34.0,-1.0,20230113.0,Middle,Mathematics,8
457,2022.0,Baltimore County,Crossroads Center,Algebra 1,All Students,33.0,-1.0,20230113.0,Middle,Algebra,-1
458,2022.0,Baltimore County,Crossroads Center,Geometry,All Students,-1.0,-1.0,20230113.0,Middle,Geometry,-1
459,2022.0,Baltimore County,BCDC Educational Center,Algebra 1,All Students,-1.0,-1.0,20230113.0,High,Algebra,-1
460,2022.0,Baltimore County,Catonsville Elementary,Mathematics Grade 3,All Students,92.0,46.7,20230113.0,Elementary,Mathematics,3
461,2022.0,Baltimore County,Catonsville Elementary,Mathematics Grade 4,All Students,105.0,37.1,20230113.0,Elementary,Mathematics,4
462,2022.0,Baltimore County,Catonsville Elementary,Mathematics Grade 5,All Students,95.0,29.5,20230113.0,Elementary,Mathematics,5
463,2022.0,Baltimore County,Westchester Elementary,Mathematics Grade 3,All Students,100.0,63.0,20230113.0,Elementary,Mathematics,3
